title	artist
Put a Date on It	Yo Gotti Featuring Lil Baby
Summertime Sadness (Cedric Gervais Remix)	Lana Del Rey & Cedric Gervais
3	Britney Spears
Home	Dierks Bentley
Flicka Da Wrist	Chedda Da Connect
Up All Night	Jon Pardi
Feel It Still	Portugal. The Man
Whatever It Takes	Imagine Dragons
The Way I Am	Charlie Puth
Move	Luke Bryan
Dancing with a Stranger	Sam Smith & Normani
It Kills Me	Melanie Fiona
Born This Way	Lady Gaga
This Is Country Music	Brad Paisley
Swimming Pools (Drank)	Kendrick Lamar
Acapella	Karmin
Yoü and I	Lady Gaga
How Deep Is Your Love	Calvin Harris & Disciples
Google Translate Sings: “Despacito” by Luis Fonsi & Daddy Yankee ft. Justin Bieber	Luis Fonsi & Daddy Yankee Featuring Justin Bieber
Stay A Little Longer	Brothers Osborne
You Need To Calm Down	Taylor Swift
Yours	Russell Dickerson
Rude	MAGIC!
Lemonade	Gucci Mane
Something Just Like This	The Chainsmokers & Coldplay
New Romantics	Taylor Swift
Every Storm (Runs Out of Rain)	Gary Allan
Everything I Didn’t Say	5 Seconds Of Summer
Bleed Red	Ronnie Dunn
Get Your Shine On	Florida Georgia Line
Made in the USA	Demi Lovato
Flashlight	Jessie J
Turning Tables	Glee Cast Featuring Gwyneth Paltrow
Fastest Girl In Town	Miranda Lambert
Counting Stars	OneRepublic
Believe Me	Lil Wayne Featuring Drake
Cake	Flo Rida & 99 Percent
Criminal	Britney Spears
Some Nights	fun.
I Got the Boy	Jana Kramer
Sweet Annie	Zac Brown Band
People Like Us	Kelly Clarkson
Talk	Khalid
California Gurls	Katy Perry Featuring Snoop Dogg
Daylight	Maroon 5
Diana	One Direction
Kevin’s Heart	J. Cole
You’re Welcome	Dwayne Johnson
All I Do Is Win	DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross
Something New	Wiz Khalifa Featuring Ty Dolla $ign
Stay	Zedd & Alessia Cara
Pop Out	Polo G Featuring Lil Tjay
Gyalchester	Drake
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
We Back	Jason Aldean
You Say	Lauren Daigle
Love Ain’t	Eli Young Band
Brave	Sara Bareilles
Love Me More	Trippie Redd
Blunt Blowin’	Lil Wayne
Rubbin off the Paint	YBN Nahmir
Your Love is My Drug	Ke$ha
Say Something	A Great Big World & Christina Aguilera
Leave Em Alone	Layton Greene, Lil Baby, City Girls & PnB Rock
Stolen Dance	Milky Chance
Otis	Jay Z Kanye West Featuring Otis Redding
Last Shot	Kip Moore
Legends	Kelsea Ballerini
The Ones That Didn’t Make It Back Home	Justin Moore
Yes Indeed	Lil Baby & Drake
Skyfall	Adele
Raised on Country	Chris Young
Suit & Tie	Justin Timberlake Featuring JAY Z
Wicked Games	The Weeknd
Mixed Personalities	YNW Melly Featuring Kanye West
Bring It Back	Travis Porter
Losing Sleep	Chris Young
Baby Be My Love Song	Easton Corbin
Save It For A Rainy Day	Kenny Chesney
The Heart Wants What It Wants	Selena Gomez
How Long	Charlie Puth
Deuces	Chris Brown Featuring Tyga & Kevin McCall
Don’t Start Now	Dua Lipa
From a Table Away	Sunny Sweeney
Never Recover	Lil Baby & Gunna Featuring Drake
Blue Ain’t Your Color	Keith Urban
Little Red Corvette	Prince
​broken	lovelytheband
Hurricane	Luke Combs
No Guidance	Chris Brown Featuring Drake
Berzerk	Eminem
Erase Me	Kid Cudi Featuring Kanye West
Sangria Wine	Pharrell Williams x Camila Cabello
Lonely Child	YoungBoy Never Broke Again
New Americana	Halsey
Weather the Storm	DJ Khaled Featuring Meek Mill & Lil Baby
U Smile	Justin Bieber
Death	Trippie Redd Featuring DaBaby
Confessions of a Dangerous Mind	Logic
Greatest Love of All	Whitney Houston
Everyday	Ariana Grande Featuring Future
Somethin’ ’Bout a Truck	Kip Moore
Whatever You Need	Meek Mill Featuring Chris Brown & Ty Dolla $ign
Summer	Calvin Harris
Shot for Me	Drake
Love Done Gone	Billy Currington
Safe and Sound	Capital Cities
Better	Khalid
Don’t Call Me Angel (Charlie’s Angels)	Ariana Grande, Miley Cyrus & Lana Del Rey
Slow Me Down	Sara Evans
Colder Weather	Zac Brown Band
Gold	Kiiara
Tip Toe	Roddy Ricch Featuring A Boogie Wit da Hoodie
Heartache Medication	Jon Pardi
Ex’s & Oh’s	Elle King
​sweetener	Ariana Grande
Life After You	Daughtry
My Last	Big Sean Featuring Chris Brown
All That Matters	Justin Bieber
Bitch, Don’t Kill My Vibe	Kendrick Lamar
Storm Warning	Hunter Hayes
Black Skinhead	Kanye West
We No Speak Americano	Yolanda Be Cool & Dcup
John Cougar, John Deere, John 3:16	Keith Urban
I Knew You Were Trouble	Taylor Swift
According to You	Orianthi
One Man Can Change the World	Big Sean Featuring Kanye West & John Legend
Somebody	Internet Money, Lil Tecca & A Boogie Wit da Hoodie
More Girls Like You	Kip Moore
Thru Your Phone	Cardi B
Tennis Court	Lorde
Window Seat	Erykah Badu
Beating Heart	Ellie Goulding
Promises	NERO
Love You Like A Love Song	Selena Gomez & The Scene
Feel Again	OneRepublic
1400 / 999 Freestyle	Trippie Redd Featuring Juice WRLD
None of Your Concern	Jhene Aiko Featuring Big Sean
Hey Pretty Girl	Kip Moore
I Fall Apart	Post Malone
2U	David Guetta Featuring Justin Bieber
IDGAF	Dua Lipa
Cake By the Ocean	DNCE
Walk	Foo Fighters
Say Amen (Saturday Night)	Panic! At The Disco
Pour It Up	Rihanna
Pusher Love Girl	Justin Timberlake
Papers	Usher
Play That Song	Train
Foldin Clothes	J. Cole
INTRO	DaBaby
At My Best	Machine Gun Kelly Featuring Hailee Steinfeld
Pray For Me	The Weeknd & Kendrick Lamar
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Drip Too Hard	Lil Baby & Gunna
Anaconda	Nicki Minaj
Mr. Misunderstood	Eric Church
Cuando Me Enamoro	Enrique Iglesias Featuring Juan Luis Guerra
Most People Are Good	Luke Bryan
Don’t Go Breaking My Heart	Backstreet Boys
Ballin’	Young Jeezy Featuring Lil Wayne
Energy	Drake
Start wit Me	Roddy Ricch & Gunna
Come Away to the Water	Maroon 5 Featuring Rozzi Crane
Do I	Luke Bryan
Setting the World on Fire	Kenny Chesney Featuring P!nk
Sleep Without You	Brett Young
We Are Never Ever Getting Back Together	Taylor Swift
​changes	XXXTENTACION
Break Up in a Small Town	Sam Hunt
​hot girl bummer	blackbear
Halfway Gone	Lifehouse
Never Gonna Be Alone	Nickelback
No Idea	Don Toliver
Take a Back Road	Rodney Atkins
Cry Pretty	Carrie Underwood
Sex with Me	Rihanna
Closer (The Chainsmokers & Halsey Cover)	The Chainsmokers Featuring Halsey
Roll With It	Easton Corbin
Ooh La La	Britney Spears
Just The Way You Are	Bruno Mars
We Owned The Night	Lady Antebellum
Little Drummer Boy	Pentatonix
Anything Could Happen	Ellie Goulding
Where You At	Jennifer Hudson
Already Gone	Kelly Clarkson
My Dawg	Lil Baby
Toothbrush	DNCE
Changed	Rascal Flatts
4AM	Melanie Fiona
Dance for You	Beyonce
Take What You Want	Post Malone Featuring Ozzy Osbourne & Travis Scott
Replay	Zendaya
I Lived	OneRepublic
The London	Young Thug, J. Cole & Travis Scott
Thinkin Bout You	Frank Ocean
Walk Me Home	P!nk
Used to Love You	Gwen Stefani
Better Now	Post Malone
Lifestyle	Rich Gang Featuring Young Thug & Rich Homie Quan
Hold It Against Me	Britney Spears
Million Reasons	Lady Gaga
The Feeling	Justin Bieber Featuring Halsey
Breakthrough	Bridgit Mendler, Adam Hicks, Naomi Scott & Hayley Kiyoko
Murder on My Mind	YNW Melly
One Kiss	Calvin Harris & Dua Lipa
Somebody’s Heartbreak	Hunter Hayes
Roman’s Revenge	Nicki Minaj Featuring Eminem
I’ll Kill You	Summer Walker Featuring Jhene Aiko
Water	Ugly God
Lose It	Kane Brown
Die Young	Ke$ha
H·A·M	Kanye West Jay Z
Blackbird	Glee Cast
No Love	August Alsina
Bandz a Make Her Dance (Remix)	Juicy J Featuring Lil Wayne & 2 Chainz
Dirt On My Boots	Jon Pardi
Juicy	Doja Cat & Tyga
Shining	DJ Khaled Featuring Beyonce & JAY Z
The Hills	The Weeknd
Heartbeat Song	Kelly Clarkson
No Excuses	Meghan Trainor
Summer Days	Martin Garrix Featuring Macklemore & Patrick Stump
Stay the Night	James Blunt
Look At Me!	XXXTENTACION
Power Trip	J. Cole Featuring Miguel
Lil Freak	Usher Featuring Nicki Minaj
The Plan	G-Eazy
Nobody Love	Tori Kelly
Guap	Big Sean
High By The Beach	Lana Del Rey
Save Me, San Francisco	Train
Faded	Alan Walker
Carry On	fun.
There Was This Girl	Riley Green
Lights	Ellie Goulding
Sorry Not Sorry	Demi Lovato
Tell Me You Love Me	Demi Lovato
Sorry Not Sorry	Demi Lovato
Tell Me You Love Me	Demi Lovato
Cold	Maroon 5 Featuring Future
XO TOUR Llif3	Lil Uzi Vert
Head Above Water	Avril Lavigne
John	Lil Wayne Featuring Rick Ross
​​ocean eyes	Billie Eilish
Nothin’ on You	B.o.B Featuring Bruno Mars
El Perdón (Forgiveness)	Nicky Jam & Enrique Iglesias
Half of My Heart	John Mayer
Now or Never	Halsey
Snapback	Old Dominion
Lockjaw	French Montana Featuring Kodak Black
Hopeless Romantic	Wiz Khalifa Featuring Swae Lee
Who You Love	John Mayer Featuring Katy Perry
Meant to Be	Bebe Rexha & Florida Georgia Line
Not Afraid	Eminem
Friends	Justin Bieber + BloodPop
Somebody	Natalie La Rose Featuring Jeremih
When We Were Young	Adele
The Cave	Mumford & Sons
The Only Exception	Paramore
There’s Nothing Holdin’ Me Back	Shawn Mendes
Carolina	Parmalee
Easy	Rascal Flatts Featuring Natasha Bedingfield
We Went	Randy Houser
Hello	Karmin
See You Again	Carrie Underwood
Kiss and Make Up	Dua Lipa & BLACKPINK
Big Rings	Drake & Future
OOOUUU	Young M.A
Girl Like You	Jason Aldean
Tusa	Karol G & Nicki Minaj
Just Like Fire	P!nk
No Frauds	Nicki Minaj, Drake & Lil Wayne
Wherever I Go	OneRepublic
Blow Your Mind (Mwah)	Dua Lipa
Might Be	DJ Luke Nasty
That’s How Country Boys Roll	Billy Currington
T-Shirt	Migos
Wesley’s Theory	Kendrick Lamar Featuring George Clinton & Thundercat
Little Things	One Direction
Don’t Hold Your Breath	Nicole Scherzinger
HUMBLE.	Kendrick Lamar
Dangerous Woman	Ariana Grande
YOSEMITE	Travis Scott
Moves Like Jagger	Maroon 5 Featuring Christina Aguilera
Bittersweet	Fantasia
Later On	The Swon Brothers
Unsteady	X Ambassadors
Before I Let Go	Beyonce
Down	Jay Sean Featuring Lil Wayne
Run This Town	Jay-Z, Rihanna & Kanye West
A Little More Country Than That	Easton Corbin
Landslide	Glee Cast Featuring Gwyneth Paltrow
Liar	Camila Cabello
Jocelyn Flores	XXXTENTACION
Law	Yo Gotti Featuring E-40
Body Like a Back Road	Sam Hunt
Outside	Calvin Harris Featuring Ellie Goulding
Starboy	The Weeknd Featuring Daft Punk
I Can Transform Ya	Chris Brown Featuring Lil Wayne & Swizz Beatz
All In My Head (Flex)	Fifth Harmony Featuring Fetty Wap
Babel	Mumford & Sons
Ain’t Leavin Without You	Jaheim
Want to Want Me	Jason Derulo
The One That Got Away	Jake Owen
Lust	Lil Skies
Gives You Hell	Glee Cast
19 You + Me	Dan + Shay
MOOD 4 EVA	Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare
BURN IT DOWN	Linkin Park
Champagne Life	Ne-Yo
Black Widow	Iggy Azalea Featuring Rita Ora
Song for Another Time	Old Dominion
Seein’ Red	Dustin Lynch
Budapest	George Ezra
Someone You Loved	Lewis Capaldi
Shape of You	Ed Sheeran
Say Something	Timbaland Featuring Drake
Chained to the Rhythm	Katy Perry Featuring Skip Marley
Southbound	Carrie Underwood
Patek Water	Future & Young Thug Featuring Offset
Mob Ties	Drake
Never Enough	One Direction
Telephone	Lady Gaga Featuring Beyonce
Bills	LunchMoney Lewis
Envy Me	Calboy
My Songs Know What You Did in the Dark (Light ’Em Up)	Fall Out Boy
Keep the Family Close	Drake
Ima Boss (Remix)	Meek Mill Featuring T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross & Swizz Beatz
Children	Justin Bieber
Ric Flair Drip	Offset & Metro Boomin
One Call Away	Charlie Puth
Consequences	Camila Cabello
Hollywood’s Bleeding	Post Malone
Or Nah	Ty Dolla $ign Featuring Wiz Khalifa & DJ Mustard
Done.	The Band Perry
Bohemian Rhapsody	Queen
Love Me	Lil Wayne Featuring Drake & Future
​i​ hate u, i love u	gnash Featuring Olivia O'Brien
I Can’t Love You Back	Easton Corbin
Timber	Pitbull Featuring Ke$ha
Undecided	Chris Brown
Acquainted	The Weeknd
Someday	Rob Thomas
Mr. Know It All	Kelly Clarkson
These Walls	Kendrick Lamar Featuring Bilal, Anna Wise & Thundercat
Mine	Bazzi
Rope	Foo Fighters
Right Here	Justin Bieber Featuring Drake
Problem	Ariana Grande Featuring Iggy Azalea
Issues	Julia Michaels
The Time (Dirty Bit)	The Black Eyed Peas
Pumped Up Kicks	Foster The People
STARGAZING	Travis Scott
Heartless	The Weeknd
Crushed Up	Future
Eyes Open	Taylor Swift
Mistletoe	Justin Bieber
V. 3005	Childish Gambino
American Saturday Night	Brad Paisley
Gimmie That Girl	Joe Nichols
One Last Time	Ariana Grande
Wow.	Post Malone
You & Me	Marc E. Bassy Featuring G-Eazy
Praise the Lord (Da Shine)	A$AP Rocky Featuring Skepta
Cool	Jonas Brothers
KOD	J. Cole
Burn Out	Midland
Do You Remember	Jay Sean Featuring Sean Paul & Lil Jon
When I Look at You	Miley Cyrus
Hallelujah	Leonard Cohen
Who Dat Girl	Flo Rida Featuring Akon
Uber Everywhere	MadeinTYO
Get You	Daniel Caesar Featuring Kali Uchis
Noticed	Lil Mosey
Cold Water	Major Lazer Featuring Justin Bieber & MO
